media,media_brand,terpene,temperature,viscosity,total_potency,terpene_pct,d9_thc,thca,cbd,cbda,d8_thc,cbg,timestamp,original_filename
unknown,grow sciences,Gary Payton/Decarb Live Hash Rosin,23.8,9542.666667,,,,,,,,,2025-03-14T14:04:47.777542,Media Database V3 2023
unknown,grow sciences,Gary Payton/Decarb Live Hash Rosin,29.9,4307.333333,,,,,,,,,2025-03-14T14:04:47.777542,Media Database V3 2023
unknown,grow sciences,Gary Payton/Decarb Live Hash Rosin,39.6,110.5666667,,,,,,,,,2025-03-14T14:04:47.777542,Media Database V3 2023
unknown,grow sciences,Gary Payton/Decarb Live Hash Rosin,49.5,76.39,,,,,,,,,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,timeless,Gauva Papaya/Live Rosin,23.8,20120,0.833801587,,0.794990079,0.010571429,0,0,0,0.019607143,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,timeless,Gauva Papaya/Live Rosin,29.9,7743.5,0.833801587,,0.794990079,0.010571429,0,0,0,0.019607143,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,timeless,Gauva Papaya/Live Rosin,39.6,1491.5,0.833801587,,0.794990079,0.010571429,0,0,0,0.019607143,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,timeless,Gauva Papaya/Live Rosin,49.5,379.95,0.833801587,,0.794990079,0.010571429,0,0,0,0.019607143,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,timeless,Gauva Papaya/Live Rosin,59.3,123.25,0.833801587,,0.794990079,0.010571429,0,0,0,0.019607143,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,timeless,Gauva Papaya/Live Rosin,69.1,47.74,0.833801587,,0.794990079,0.010571429,0,0,0,0.019607143,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,timeless,Donny Burger/Live Rosin,23.8,25820,0.859680619,,0.337542301,0.490319115,0,0,0,0.005143186,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,timeless,Donny Burger/Live Rosin,29.9,9483,0.859680619,,0.337542301,0.490319115,0,0,0,0.005143186,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,timeless,Donny Burger/Live Rosin,39.6,1708.5,0.859680619,,0.337542301,0.490319115,0,0,0,0.005143186,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,timeless,Donny Burger/Live Rosin,49.5,427.7,0.859680619,,0.337542301,0.490319115,0,0,0,0.005143186,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,timeless,Donny Burger/Live Rosin,59.3,133.15,0.859680619,,0.337542301,0.490319115,0,0,0,0.005143186,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,timeless,Donny Burger/Live Rosin,69.1,51.14,0.859680619,,0.337542301,0.490319115,0,0,0,0.005143186,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,timeless,Tropicana Banana/ Live Rosin,23.8,23943.33333,0.860243324,,0.820709197,0.010435767,0,0,0,0.018080524,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,timeless,Tropicana Banana/ Live Rosin,29.9,9723,0.860243324,,0.820709197,0.010435767,0,0,0,0.018080524,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,timeless,Tropicana Banana/ Live Rosin,39.6,2108.333333,0.860243324,,0.820709197,0.010435767,0,0,0,0.018080524,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,timeless,Tropicana Banana/ Live Rosin,49.5,598.6333333,0.860243324,,0.820709197,0.010435767,0,0,0,0.018080524,2025-03-14T14:04:47.777542,Media Database V3 2023
